AreaCode,Date,Territory,TerritorySize,Product,ProductLine,ProductType,State,Type,BudgetCOGS,BudgetProfit,COGS,Margin,Profit,TotalExpenses,sales,Marketing
970,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,110,95,139,101,38,164,39
309,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,100,95,139,87,52,77,231
614,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,20,63,87,0,87,226,85
720,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,80,72,108,53,55,79,216
630,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,180,228,228,140,88,143,51
614,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,40,58,72,16,56,122,27
754,01-01-2012,East,Major Territory,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,70,84,116,67,49,144,111
754,01-01-2012,East,Major Territory,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,60,77,103,50,53,33,251
325,01-01-2012,South,Major Territory,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,100,83,107,68,39,175,148
956,01-01-2012,South,Major Territory,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,60,54,80,54,26,125,282
650,01-01-2012,West,Major Territory,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,120,144,26,117,91,147,173
213,01-01-2012,West,Major Territory,Decaf Espresso,Beans,Espresso,California,Decaf,220,200,234,312,203,109,134,247
719,01-01-2012,Central,Major Territory,Amaretto,Beans,Coffee,Colorado,Regular,90,100,89,130,94,36,167,162
740,01-01-2012,Central,Major Territory,Amaretto,Beans,Coffee,Ohio,Regular,60,50,60,80,34,46,173,121
970,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Colorado,Regular,80,80,83,107,68,39,73,244
217,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Illinois,Regular,150,130,144,201,111,90,86,97
614,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Ohio,Regular,60,50,57,83,42,41,46,52
303,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,70,54,80,54,26,190,110
309,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,260,234,312,203,109,64,259
614,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,140,170,171,99,72,136,139
954,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,Florida,Regular,80,70,84,126,68,58,264,69
413,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,Massachusetts,Regular,60,360,72,422,367,55,40,241
716,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,New York,Regular,260,260,271,407,262,145,284,110
239,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Florida,Regular,70,30,79,111,9,102,220,29
781,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,20,63,63,23,86,104,128
315,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,New York,Regular,100,170,105,44,172,128,155,237
978,01-01-2012,East,Major Territory,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,110,170,171,100,71,16,221
631,01-01-2012,East,Major Territory,Regular Espresso,Beans,Espresso,New York,Regular,210,200,228,262,175,87,109,83
409,01-01-2012,South,Major Territory,Colombian,Beans,Coffee,Texas,Regular,260,220,207,245,159,86,69,219
830,01-01-2012,South,Major Territory,Caffe Latte,Beans,Espresso,Texas,Regular,60,50,72,108,53,55,36,264
325,01-01-2012,South,Major Territory,Caffe Mocha,Beans,Espresso,Texas,Regular,70,90,89,130,95,35,63,206
916,01-01-2012,West,Major Territory,Amaretto,Beans,Coffee,California,Regular,110,30,95,50,2,52,203,114
559,01-01-2012,West,Major Territory,Colombian,Beans,Coffee,California,Regular,340,370,271,407,262,145,167,101
661,01-01-2012,West,Major Territory,Caffe Latte,Beans,Espresso,California,Regular,210,150,228,228,140,88,294,180
818,01-01-2012,West,Major Territory,Caffe Mocha,Beans,Espresso,California,Regular,100,20,105,145,17,128,86,222
970,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,110,170,171,99,72,54,295
312,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,100,89,130,95,35,60,16
937,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,32,48,29,19,41,166
719,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,20,63,87,0,87,42,206
630,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,60,83,107,68,39,141,12
740,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,32,48,29,19,242,198
970,01-01-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,40,60,80,33,47,124,73
773,01-01-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,100,95,139,101,38,273,29
863,01-01-2012,East,Major Territory,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,30,48,62,34,28,12,142
239,01-01-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,20,54,66,13,53,168,250
339,01-01-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,30,58,72,17,55,281,182
607,01-01-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,New York,Decaf,180,100,245,238,111,127,74,286
772,01-01-2012,East,Major Territory,Mint,Leaves,Herbal Tea,Florida,Decaf,50,40,69,81,39,42,213,34
845,01-01-2012,East,Major Territory,Mint,Leaves,Herbal Tea,New York,Decaf,150,70,207,27,113,86,272,259
281,01-01-2012,South,Major Territory,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,50,60,80,33,47,98,126
254,01-01-2012,South,Major Territory,Lemon,Leaves,Herbal Tea,Texas,Decaf,50,50,57,83,42,41,76,224
510,01-01-2012,West,Major Territory,Chamomile,Leaves,Herbal Tea,California,Decaf,80,100,95,139,102,37,55,228
310,01-01-2012,West,Major Territory,Lemon,Leaves,Herbal Tea,California,Decaf,170,160,207,245,160,85,28,230
707,01-01-2012,West,Major Territory,Mint,Leaves,Herbal Tea,California,Decaf,70,60,83,107,67,40,54,265
719,01-01-2012,Central,Major Territory,Darjeeling,Leaves,Tea,Colorado,Regular,40,20,58,72,17,55,107,10
