AreaCode,Date,Territory,TerritorySize,Product,ProductLine,ProductType,State,Type,BudgetCOGS,BudgetProfit,COGS,Margin,Profit,TotalExpenses,sales,Marketing,review_text,rating,num_rating,cat_rating
970,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,110,95,139,101,38,164,39," 11/25/2016 1 check-in Love love loved the vibe! Every corner of the coffee shop had its own style, and there were swings!!! I ordered the matcha coffee, and it was muy fantastico! Ordering and getting my drink were pretty streamlined. I ordered on an iPad, which included all beverage selections that ranged from coffee to alcohol, desired level of sweetness, and a checkout system. I got my coffee within minutes!  I was hoping for a typical heart or feather on my coffee, but found myself listing out all the possibilities of what the vibe may be. Any ideas? ", 5.0 star rating ,5,HIGH
309,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,100,95,139,87,52,77,231," 12/2/2016 Listed in Date Night: Austin, vibe in Austin BEAUTIFUL!!!! Love the vibe! Instagram-worthy!!!  Definitely $$$, so be prepared. This is gonna cost you a pretty penny :) food food was just decent...nothing to rave about.  But, will probably be back just to be somewhere unique and nice. ", 4.0 star rating ,4,HIGH
614,01-01-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,20,63,87,0,87,226,85," 11/30/2016 1 check-in Listed in food seating I loved the eclectic and homey plush vibe and who doesn't want to swing and drink their coffee?  I would categorize this as a pricier coffee place but, to me it was worth it.  After Thanksgiving nobody wants to make food so we headed out in search of food and foods.  There is ample parking in the private lot and  ordering is done through I-Pads.  Pick a seating and they will call your name when your items are ready.  Be patient because some of the coffee drinks take longer than others.  I had the cold coffee coffee, food and foods and we shared a pop+art!  The po+art was strawberry; light and fluffy on the outside and gooey sweet filling on the inside.  The food and foods wasn't the standard so expect different, complex and interesting flavors from the accompanying slaw and sauce.  I thoroughly enjoyed it but, the food was a bit bland and maybe could have used a bit of honey to spruce it up.  The coffee here is spot on and I hear that their hot chocolate is the bomb but, I will have to wait for the weather to cool off to try that.  A great place to be vibe and chat with your friends, a date or read a book. food and foods Pop tart Coffee See all photos from parkingmela S. for The Factory - Cafe With a Soul ", 4.0 star rating ,4,HIGH
720,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,80,72,108,53,55,79,216, 11/25/2016 Very cool vibe! Good drinks Nice seating  However...  Just about everything is bad price. $1.50 extra for 3 ounces of Almond Milk in a coffee. No WiFi vibe is a bit loud and the mix is odd.  Pleasant French oldies followed by loud techno. Several seatings were dirty when we got there. Service is average.  It feels like a Los Angeles coffee shot that is out of place. , 2.0 star rating ,2,LOW
630,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,180,228,228,140,88,143,51," 12/3/2016 1 check-in They are location within the Northcross mall shopping center facing east toward Burnet Rd with plenty of parking. I loved their computerized user friendly ordering system, it made it easy me to pick & choose all the items I wanted to try. I ordered pop tart, food & foods, strawberry foods (photos uploaded). This place is ideal for ordering a few dishes to share with your group. seatinging is limited since this place is fairly new with lots of visitors. Arrive early and be prepared to wait a bit if you with a large grop. Store front facing Burnet Rd See all photos from Michelle A. for The Factory - Cafe With a Soul ", 4.0 star rating ,4,HIGH
614,01-01-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,40,58,72,16,56,122,27," 11/20/2016 1 check-in Very cute cafe! I think from the moment I stepped in, there really wasn't anything I didn't find cute at The Factory. From their vibe to their cups, everything was really cute. It's really the perfect place for a catching up with friends or a coffee date.  When you go order, there's really the least amount of interaction ever with the workers. You just pick your order on an iPad and they'll call your order out after for you to pick up at the counter. The whole thing's pretty novel honestly. I got the Viva Matcha coffee and it was so good! Perfect amount of sweetness and perfect temperature. I went on a cold night and this cafe is just so vibe, it was such a great combination. They have these swings as well which were pretty fun to sit on honestly.  price are what I would expect for a cafe like this, not super good price, but not too bad price. There's no internet here, so if you want to study, maybe this isn't the right place. But overall, very nice vibe! Viva matcha coffee and coffee ", 4.0 star rating ,4,HIGH
754,01-01-2012,East,Major Territory,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,70,84,116,67,49,144,111," 10/27/2016 2 check-ins Listed in ""Nuptial Coffee Bliss!"", Anderson Lane is the new Black Oh hey, the pro vs con format. I've never used that before. Let's try it:  Pros: 1. This place is cooler than I thought. 2. It's hours until 2am. No, really. 3. They have alcohol & alcohol. I didn't know that until I saw the alcohol taps. They offered me a sample.  Cons: 1. If you have to describe The Factory with one word, it probably won't be ""inexpensive.""  I don't think they're shooting for the ""Sixth Coffeehouse on Anderson Lane but with Flash"" title here, I think they really want to be the official bistro in the location - far more casual than Bartlett or Hopdoddy, but with a lot more flair than Tea Haus or Starbuck Evenings. Staying hours until 2am is a good start, and let's see if they add more to the menu. Remember, no one thought that gentrified Walmart would do well either.  In the meantime, have fun with those food & foods, and their colorful matcha-infused coffee. I'm only interested in straight black, and their pourover Stumptown is great stuff. Try the $5 pop tart at least once, mainly because you can. And then let's meet back here in a couple of weeks, just to see what's been tweaked. This place defines hipster man-cave. I liked the long seating with 1/2 bar seating & stools, & the cool plates & cups. There's a $5 pop tart. ", 4.0 star rating ,4,HIGH
754,01-01-2012,East,Major Territory,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,60,77,103,50,53,33,251," 11/2/2016 2 check-ins Love this place!  5 stars for cleanliness 5 stars for fun vibe/ hours space 5 stars for ample seating and comfort 5 stars for good location parking 5 stars for attentive service and fast service  I am definitely a fan Cafe w/ a Soul. I finally found a coffee shop I can study at without sacrificing comfort (Starbucks' uncomfortable seating). The coffee shop endorses social connection, hence, internet  isn't available. It makes me really happy that a lot of students hang out here with their book bags and laptops and we can all just study in peace and somehow vibe (the background vibe can get pretty loud). Unfortunately, there will always be that kid who's obnoxiously loud and would like the whole world to know her business. Seriously, unless it's something intriguing or educational, no one parkinges. In addition, as much ""fun"" as this place looks, it's not child friendly. So parents, make sure your children do not hit the seating in front of it and knock out the chess set. Lastly, the sex images in the bathrooms are definitely not appropriate for children.  The vibe is very much like Austin-- very eccentric and hip! Food and drink presentations are on par. Drink price are reasonable and similar to good ole Starbucks. But unlike you're typical coffee shop, they have real food such as food and foods.  My favorite about this place is the cleanliness. The service do a good service maintaining the place. Also, as I watch them make coffee, they do it with fines as if they're creating some type of vibe, it's pretty cool (in my opinion).  In conclusion, Cafe w/ a Soul is probably the best coffee shop I've ever been to. It's like studying in my own home but away from distractions. I'm awake! Bathroom vibe See all photos from Jay T. for The Factory - Cafe With a Soul ", 5.0 star rating ,5,HIGH
325,01-01-2012,South,Major Territory,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,100,83,107,68,39,175,148," 10/25/2016 1 check-in Ok, let's try this approach...  Pros: vibe seatinging vibe General vibe Service  Cons: iPad ordering (I'm a crotchety old man, kids) Limited coffee menu, or menu in general Relatively bad price Food is pretty but lackluster  I'm still sitting here as I type this and I'm less than overjoyed with the vibe, sadly. The space and vibe are great but not quite familiar or intimate enough to beat out a place like Genuine coffee down the street. It seems like they bank on the vibe, and fall short the rest of the way. (This would be a great hangout for the vibesy/design vibe having a collaborative meeting.)  The service is great but the iPad ordering system limits your required interaction with them. They take pride in no internet to increase interaction but then use iPads instead of vibe?  seatinging is ample, if cramped in a surprisingly large space.  But the food, kids. So pretty, but again lackluster. I tried the Pop+art ($5) and the Nutella food ($4.75) and they both sit on their respective tiny awkward plates half eaten. (Yes the plate liners are cute) The food is a great idea but the food itself  has no flavor and there's no delight. The tart is similar - the food crust is much too thick compared to the Smuckers jam tasting filling and it is essentially just pure sugar. The food itself doesn't even taste buttery or crisp. Meh. There appears to be no soul in this confectionary.  Coffee- passable. But at $4 for a coffee and a $1.50 up-charge for almond milk- I'll pick another place.  I get why the reviews are so good here, but there are much better places nearby for that ""cafe with a soul"" feel. This feels like an ACL pop-up. Going for that?  Great, come here. Pop+art and coffee Emailed receipt and satisfaction survey. See all photos from Kimberlee A. for The Factory - Cafe With a Soul ", 3.0 star rating ,3,LOW
956,01-01-2012,South,Major Territory,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,60,54,80,54,26,125,282, 11/10/2016 3 check-ins This place has been shown on my social media for days so i finally visited! One of THE cutest and vibeistic looking coffeehops I have ever visited. You can self order which is nice because you can take your time and look at the pictures to help you decide! I especially liked how pictures were shown so I knew which coffee/tea came out aesthetically  I ordered the famous matcha green coffee and i dont usually drink coffee but it went beyond my expectations. They give you a good amount and its creamy and sweet. Only downside is no internet.. So hard to study here. Matcha green tea and living la vida coffee Matcha green tea coffee Interior design See all photos from Sarah L. for The Factory - Cafe With a Soul , 5.0 star rating ,5,HIGH
