uniqueID,drugName,condition,rating,date,usefulCount
2,Medroxyprogesterone,Amenorrhea,10,27-Oct-15,11
3,Medroxyprogesterone,Abnormal Uterine Bleeding,8,27-Oct-15,7
4,Medroxyprogesterone,Birth Control,9,26-Oct-15,12
5,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Oct-15,4
7,Medroxyprogesterone,Abnormal Uterine Bleeding,5,22-Oct-15,6
8,Medroxyprogesterone,Abnormal Uterine Bleeding,5,21-Oct-15,2
9,Medroxyprogesterone,Abnormal Uterine Bleeding,2,21-Oct-15,5
10,Medroxyprogesterone,Abnormal Uterine Bleeding,7,20-Oct-15,2
12,Medroxyprogesterone,Abnormal Uterine Bleeding,3,18-Oct-15,7
14,Medroxyprogesterone,Birth Control,2,17-Oct-15,7
16,Medroxyprogesterone,Abnormal Uterine Bleeding,5,15-Oct-15,8
18,Medroxyprogesterone,Abnormal Uterine Bleeding,1,14-Oct-15,4
22,Medroxyprogesterone,Abnormal Uterine Bleeding,1,10-Oct-15,5
24,Medroxyprogesterone,Birth Control,5,10-Oct-15,2
25,Medroxyprogesterone,Birth Control,3,24-Nov-15,2
28,Medroxyprogesterone,Abnormal Uterine Bleeding,1,23-Nov-15,17
29,Medroxyprogesterone,Abnormal Uterine Bleeding,4,22-Nov-15,26
30,Medroxyprogesterone,Endometrial Hyperplasia,9,19-Nov-15,6
31,Medroxyprogesterone,Birth Control,1,19-Nov-15,0
34,Medroxyprogesterone,Birth Control,1,18-Nov-15,3
35,Medroxyprogesterone,Birth Control,1,18-Nov-15,0
37,Medroxyprogesterone,Abnormal Uterine Bleeding,1,18-Nov-15,1
38,Medroxyprogesterone,Endometriosis,9,17-Nov-15,14
39,Medroxyprogesterone,Abnormal Uterine Bleeding,4,16-Nov-15,25
41,Medroxyprogesterone,Birth Control,10,15-Nov-15,6
42,Medroxyprogesterone,Birth Control,5,15-Nov-15,3
44,Medroxyprogesterone,Abnormal Uterine Bleeding,1,14-Nov-15,15
45,Medroxyprogesterone,Birth Control,5,14-Nov-15,12
46,Medroxyprogesterone,Birth Control,9,13-Nov-15,4
